iter	Passed	Remaining
0	2	231
1	4	203
2	5	179
3	6	160
4	7	150
5	9	141
6	10	140
7	11	136
8	12	131
9	14	132
10	15	128
11	17	125
12	18	121
13	19	118
14	20	114
15	21	111
16	22	108
17	23	108
18	25	106
19	26	104
20	27	102
21	28	100
22	29	100
23	31	99
24	32	97
25	33	96
26	34	94
27	36	92
28	37	90
29	38	88
30	38	86
31	39	84
32	40	82
33	41	80
34	42	79
35	43	77
36	44	76
37	45	74
38	46	73
39	47	71
40	48	69
41	49	67
42	49	66
43	50	64
44	51	62
45	52	61
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	59	49
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	65	40
62	66	39
63	67	37
64	68	36
65	68	35
66	69	34
67	70	33
68	71	32
69	71	30
70	72	29
71	73	28
72	73	27
73	75	26
74	76	25
75	77	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	83	14
85	84	13
86	85	12
87	86	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	97	0
